Municipality,Soy Production 2022
Cuatro Cañadas,784857
Pailón,642399
San Julián,456353
Mineros,305345
San Pedro,282154
Santa Rosa del Sara,211946
San José,178753
Okinawa Uno,90961
Cabezas,87988
San Juan,83465
El Puente (SC),51238
Fernández Alonso,49723
Yapacaní,40353
Charagua Iyambae,29789
San Ignacio de Velasco,28584
Cotoca,21787
La Guardia,17656
Warnes,14338
Ascención de Guarayos,13846
General Saavedra,8665
Portachuelo,565
San Carlos,4705
Santa Cruz de la Sierra,3876
El Torno,3606
Lagunillas,3547
Buena Vista,833
Kereimba Iyaambae,586
San Antonio de Lomerio,289
Camiri,16
Yacuiba,1774
Caraparí,2217
Villa Montes,1007
Entre Ríos (TA),583
San Andrés,7557
San Javier (BE),4182
Huacaraje,111
Rurrenabaque,31
San Borja,7
Macharetí,153
El Villar,22
Villa Vaca Guzmán (Muyupampa),14
Monteagudo,13
Huacareta,9
Padilla,8
Culpina,7
Entre Ríos (Bulo Bulo),157
Villa Tunari,2
Cocapata,1
Ixiamas,11
Alto Beni,2
Irupana,1
Inquisivi,1
