CD_MUN,Municipality,Soy Production 2019,Soy Production 2020,Soy Production 2021,Soy Production 2022,Soy Production 2023
1100015,Alta Floresta D'Oeste (RO),1350,1350,2500,4915,4824
1100023,Ariquemes (RO),24592,25497,22731,31732,46230
1100031,Cabixi (RO),84204,86772,103899,108000,100000
1100049,Cacoal (RO),3000,3000,6000,9378,16420
1100056,Cerejeiras (RO),129956,140760,131825,130000,140000
1100064,Colorado do Oeste (RO),11700,10888,10980,12383,10000
1100072,Corumbiara (RO),147600,142800,171944,157800,160000
1100080,Costa Marques (RO),0,0,600,1654,11712
1100098,Espigão D'Oeste (RO),2700,2700,3390,4320,5580
1100106,Guajará0Mirim (RO),0,0,0,0,15841
1100114,Jaru (RO),0,0,124,608,1045
1100122,Ji0Paraná (RO),0,0,0,1290,1741
1100130,Machadinho D'Oeste (RO),32304,50433,48953,58162,70069
1100148,Nova Brasilândia D'Oeste (RO),900,900,3000,6567,5237
1100155,Ouro Preto do Oeste (RO),0,0,0,6600,9933
1100189,Pimenta Bueno (RO),1840,1840,6500,12468,12535
1100205,Porto Velho (RO),34080,57187,41920,112000,181812
1100254,Presidente Médici (RO),0,0,0,100,0
1100262,Rio Crespo (RO),66120,104461,87153,119491,120593
1100288,Rolim de Moura (RO),7447,7447,12800,15454,27678
1100296,Santa Luzia D'Oeste (RO),960,960,13676,21226,26440
1100304,Vilhena (RO),142649,197640,150500,160320,164500
1100320,São Miguel do Guaporé (RO),33759,30180,45000,71000,96035
1100338,Nova Mamoré (RO),2300,2760,9360,16344,31425
1100346,Alvorada D'Oeste (RO),1221,1221,1980,1336,2739
1100379,Alto Alegre dos Parecis (RO),10135,10135,1800,10771,12546
1100403,Alto Paraíso (RO),83593,64052,71940,84751,87238
1100452,Buritis (RO),0,0,726,2343,4180
1100502,Novo Horizonte do Oeste (RO),4500,4500,4800,6311,7600
1100601,Cacaulândia (RO),0,0,0,0,0
1100700,Campo Novo de Rondônia (RO),522,525,792,760,1880
1100809,Candeias do Jamari (RO),18600,25226,3360,62370,157626
1100908,Castanheiras (RO),8658,8658,10083,15058,19500
1100924,Chupinguaia (RO),126870,122200,131350,155000,145000
1100940,Cujubim (RO),45959,69188,48217,65224,83271
1101005,Governador Jorge Teixeira (RO),0,0,0,0,0
1101104,Itapuã do Oeste (RO),7820,7491,9210,48807,79703
1101203,Ministro Andreazza (RO),0,0,0,0,0
1101302,Mirante da Serra (RO),0,0,0,1728,3537
1101401,Monte Negro (RO),0,0,0,0,0
1101435,Nova União (RO),0,0,0,16,466
1101450,Parecis (RO),3540,3540,4700,9000,17370
1101468,Pimenteiras do Oeste (RO),133445,145145,161460,173200,180000
1101476,Primavera de Rondônia (RO),0,0,100,4294,980
1101484,São Felipe D'Oeste (RO),547,547,3201,5676,8030
1101492,São Francisco do Guaporé (RO),3600,4500,5400,11689,24156
1101500,Seringueiras (RO),10011,10011,10011,21278,23091
1101559,Teixeirópolis (RO),0,0,0,0,0
1101609,Theobroma (RO),2448,2603,2999,3276,4755
1101708,Urupá (RO),0,0,0,0,0
1101757,Vale do Anari (RO),1265,1607,7103,5549,8217
1101807,Vale do Paraíso (RO),0,0,0,0,0
1200013,Acrelândia (AC),0,0,0,0,298
1200054,Assis Brasil (AC),0,0,0,0,0
1200104,Brasiléia (AC),0,0,0,0,0
1200138,Bujari (AC),0,0,0,0,0
1200179,Capixaba (AC),1290,1500,3812,4028,9750
1200203,Cruzeiro do Sul (AC),0,0,0,0,0
1200252,Epitaciolândia (AC),0,0,67,0,1319
1200302,Feijó (AC),0,0,0,0,0
1200328,Jordão (AC),0,0,0,0,0
1200336,Mâncio Lima (AC),0,0,0,0,0
1200344,Manoel Urbano (AC),0,0,0,0,0
1200351,Marechal Thaumaturgo (AC),0,0,0,0,0
1200385,Plácido de Castro (AC),1716,5805,10167,10230,16185
1200393,Porto Walter (AC),0,0,0,0,0
1200401,Rio Branco (AC),2045,3075,4610,5100,6765
1200427,Rodrigues Alves (AC),0,0,0,0,0
1200435,Santa Rosa do Purus (AC),0,0,0,0,0
1200450,Senador Guiomard (AC),0,0,900,1008,5017
1200500,Sena Madureira (AC),0,0,0,0,0
1200609,Tarauacá (AC),0,0,0,0,0
1200708,Xapuri (AC),0,0,600,1221,3258
1200807,Porto Acre (AC),0,0,0,1080,3140
1300029,Alvarães (AM),0,0,0,0,0
1300060,Amaturá (AM),0,0,0,0,0
1300086,Anamã (AM),0,0,0,0,0
1300102,Anori (AM),0,0,0,0,0
1300144,Apuí (AM),0,0,0,0,0
1300201,Atalaia do Norte (AM),0,0,0,0,0
1300300,Autazes (AM),0,0,0,0,0
1300409,Barcelos (AM),0,0,0,0,0
1300508,Barreirinha (AM),0,0,0,0,0
1300607,Benjamin Constant (AM),0,0,0,0,0
1300631,Beruri (AM),0,0,0,0,0
1300680,Boa Vista do Ramos (AM),0,0,0,0,0
1300706,Boca do Acre (AM),0,0,0,3740,4080
1300805,Borba (AM),0,0,0,0,0
1300839,Caapiranga (AM),0,0,0,0,0
1300904,Canutama (AM),0,0,0,0,1375
1301001,Carauari (AM),0,0,0,0,0
1301100,Careiro (AM),0,0,0,0,0
1301159,Careiro da Várzea (AM),0,0,0,0,0
1301209,Coari (AM),0,0,0,0,0
1301308,Codajás (AM),0,0,0,0,0
1301407,Eirunepé (AM),0,0,0,0,0
1301506,Envira (AM),0,0,0,0,0
1301605,Fonte Boa (AM),0,0,0,0,0
1301654,Guajará (AM),0,0,0,0,0
1301704,Humaitá (AM),7500,8000,10000,10000,18000
1301803,Ipixuna (AM),0,0,0,0,0
1301852,Iranduba (AM),0,0,0,0,0
1301902,Itacoatiara (AM),0,0,0,0,0
1301951,Itamarati (AM),0,0,0,0,0
1302009,Itapiranga (AM),0,0,0,0,0
1302108,Japurá (AM),0,0,0,0,0
1302207,Juruá (AM),0,0,0,0,0
1302306,Jutaí (AM),0,0,0,0,0
1302405,Lábrea (AM),0,0,0,0,0
1302504,Manacapuru (AM),0,0,0,0,0
1302553,Manaquiri (AM),0,0,0,0,0
1302603,Manaus (AM),0,0,0,0,0
1302702,Manicoré (AM),0,0,0,0,0
1302801,Maraã (AM),0,0,0,0,0
1302900,Maués (AM),0,0,0,0,0
1303007,Nhamundá (AM),0,0,0,0,0
1303106,Nova Olinda do Norte (AM),0,0,0,0,0
1303205,Novo Airão (AM),0,0,0,0,0
1303304,Novo Aripuanã (AM),0,0,0,0,0
1303403,Parintins (AM),0,0,0,0,0
1303502,Pauini (AM),0,0,0,0,0
1303536,Presidente Figueiredo (AM),0,0,0,0,0
1303569,Rio Preto da Eva (AM),0,0,0,0,0
1303601,Santa Isabel do Rio Negro (AM),0,0,0,0,0
1303700,Santo Antônio do Içá (AM),0,0,0,0,0
1303809,São Gabriel da Cachoeira (AM),0,0,0,0,0
1303908,São Paulo de Olivença (AM),0,0,0,0,0
1303957,São Sebastião do Uatumã (AM),0,0,0,0,0
1304005,Silves (AM),0,0,0,0,0
1304062,Tabatinga (AM),0,0,0,0,0
1304104,Tapauá (AM),0,0,0,0,0
1304203,Tefé (AM),0,0,0,0,0
1304237,Tonantins (AM),0,0,0,0,0
1304260,Uarini (AM),0,0,0,0,0
1304302,Urucará (AM),0,0,0,0,0
1304401,Urucurituba (AM),0,0,0,0,0
1400027,Amajari (RR),0,0,300,2678,825
1400050,Alto Alegre (RR),54000,67500,84930,114883,156461
1400100,Boa Vista (RR),15950,19950,72138,114376,140636
1400159,Bonfim (RR),36696,46880,50143,79137,104802
1400175,Cantá (RR),1800,2700,4054,9261,10565
1400209,Caracaraí (RR),0,0,416,1440,864
1400233,Caroebe (RR),0,0,0,0,0
1400282,Iracema (RR),924,1120,3959,9160,13247
1400308,Mucajaí (RR),720,1400,9458,15712,17676
1400407,Normandia (RR),0,0,0,0,0
1400456,Pacaraima (RR),0,0,0,0,0
1400472,Rorainópolis (RR),0,0,0,0,0
1400506,São João da Baliza (RR),0,0,0,0,0
1400605,São Luiz (RR),0,0,0,0,0
1400704,Uiramutã (RR),0,0,0,0,0
1500107,Abaetetuba (PA),0,0,0,0,0
1500131,Abel Figueiredo (PA),12400,17600,16800,17360,17175
1500206,Acará (PA),0,0,0,0,0
1500305,Afuá (PA),0,0,0,0,0
1500347,Água Azul do Norte (PA),2300,2438,2025,2025,2000
1500404,Alenquer (PA),0,0,0,0,0
1500503,Almeirim (PA),0,0,0,0,0
1500602,Altamira (PA),56700,50400,50400,47600,49462
1500701,Anajás (PA),0,0,0,0,0
1500800,Ananindeua (PA),0,0,0,0,0
1500859,Anapu (PA),0,0,0,0,0
1500909,Augusto Corrêa (PA),0,0,0,0,0
1500958,Aurora do Pará (PA),0,0,0,0,0
1501006,Aveiro (PA),0,0,0,0,0
1501105,Bagre (PA),0,0,0,0,0
1501204,Baião (PA),0,0,0,0,0
1501253,Bannach (PA),0,0,0,0,0
1501303,Barcarena (PA),0,0,0,0,0
1501402,Belém (PA),0,0,0,0,0
1501451,Belterra (PA),41553,66000,73600,105000,105000
1501501,Benevides (PA),0,0,0,0,0
1501576,Bom Jesus do Tocantins (PA),0,0,0,0,0
1501600,Bonito (PA),0,0,0,0,0
